name ,runs,obj_mean,obj_sd,tott_med,babn_mean,status
q075-m02-n0010,10,4989.900000,567.593840,0.2,550.00000000,1.0
q075-m02-n0015,10,7018.500000,1062.058823,4.9,1486.10000000,1.0
q075-m02-n0020,10,9194.600000,1181.897646,86.1,30379.20000000,0.8
q075-m02-n0025,10,11787.888889,1069.711111,295.8,14190.22222222,0.6
q075-m02-n0030,10,14003.200000,1900.512089,897.7,21803.40000000,0.0
q075-m02-n0035,10,16515.200000,1264.990452,897.4,11751.70000000,0.0
q075-m02-n0040,10,18802.285714,1528.500650,897.9,7878.85714286,0.0
q075-m02-n0045,10,22770.900000,1733.272848,897.5,4413.60000000,0.0
q075-m02-n0050,10,,,,,0.0
q075-m02-n0100,10,59456.666667,323.846157,1018.7,304.33333333,0.0
q075-m03-n0005,10,4987.000000,1499.583424,0.0,0.00000000,1.0
q075-m03-n0010,10,7841.400000,640.544942,0.3,335.20000000,1.0
q075-m03-n0015,10,9226.700000,1072.342094,107.7,61810.90000000,0.7
q075-m03-n0020,10,14051.800000,1120.217618,896.6,23512.60000000,0.4
q075-m03-n0025,10,17047.555556,1792.266938,897.5,17281.77777778,0.0
q075-m03-n0030,10,22433.700000,1742.229035,897.4,7801.60000000,0.0
q075-m03-n0035,10,27288.200000,2659.587679,898.0,4983.70000000,0.0
q075-m03-n0040,10,30273.750000,3699.729672,898.9,2963.25000000,0.0
q075-m03-n0045,10,38619.666667,5540.208096,900.0,1525.22222222,0.0
q075-m03-n0050,10,,,,,0.0
q075-m03-n0100,10,90798.000000,,1173.1,3.00000000,0.0
q075-m04-n0005,10,6777.200000,1185.303412,0.0,3.70000000,1.0
q075-m04-n0010,10,9552.400000,2230.974535,1.3,11083.50000000,1.0
q075-m04-n0015,10,14791.700000,2715.115797,16.6,39586.70000000,0.8
q075-m04-n0020,10,17538.600000,1564.824889,896.9,23093.60000000,0.1
q075-m04-n0025,10,26155.400000,3834.926505,897.5,9060.40000000,0.0
q075-m04-n0030,10,38842.750000,6239.806481,898.3,2283.00000000,0.0
q075-m04-n0035,10,42039.375000,4572.549084,898.4,3129.87500000,0.0
q075-m04-n0040,10,47430.571429,6722.841038,900.1,1622.57142857,0.0
q075-m04-n0045,10,,,,,0.0
q075-m04-n0050,10,,,,,0.0
q075-m04-n0100,10,,,,,0.0
q075-m05-n0005,10,9281.000000,2649.602150,0.0,49.50000000,1.0
q075-m05-n0010,10,13612.200000,2319.512391,3.7,6352.50000000,1.0
q075-m05-n0015,10,17327.400000,2218.682452,896.1,56315.00000000,0.4
q075-m05-n0020,10,24003.800000,2776.818675,896.7,19170.80000000,0.1
q075-m05-n0025,10,32541.500000,4109.799578,897.3,9938.50000000,0.0
q075-m05-n0030,10,45129.285714,5326.175167,897.2,3819.71428571,0.0
q075-m05-n0035,10,57922.142857,10395.730893,898.8,1997.00000000,0.0
q075-m05-n0040,10,73335.333333,873.394145,901.6,545.33333333,0.0
q075-m05-n0045,10,,,,,0.0
q075-m05-n0050,10,94607.500000,4434.266625,908.6,469.50000000,0.0
q075-m05-n0100,10,,,,,0.0
q100-m01-n0005,10,1530.600000,412.093085,0.0,0.00000000,1.0
q100-m01-n0010,10,2661.000000,604.534715,0.0,19.40000000,1.0
q100-m01-n0015,10,3697.200000,451.437408,0.4,801.10000000,1.0
q100-m01-n0020,10,5048.800000,583.282817,1.6,2069.50000000,1.0
q100-m01-n0025,10,6189.300000,649.516581,4.5,1503.90000000,1.0
q100-m01-n0030,10,6983.300000,491.386937,5.1,1535.10000000,1.0
q100-m01-n0035,10,8568.900000,622.254583,8.3,2328.00000000,1.0
q100-m01-n0040,10,9500.400000,1032.042764,13.3,5809.50000000,1.0
q100-m01-n0045,10,10750.000000,607.107715,25.5,6949.40000000,1.0
q100-m01-n0050,10,12375.800000,1064.677745,60.8,9701.60000000,0.5
q100-m01-n0100,10,25379.250000,1128.353636,896.7,39956.75000000,0.1
q100-m02-n0005,10,2625.000000,466.308196,0.0,5.30000000,1.0
q100-m02-n0010,10,5016.000000,1183.061002,0.1,399.30000000,1.0
q100-m02-n0015,10,7098.200000,603.693226,10.1,6007.90000000,1.0
q100-m02-n0020,10,8959.200000,727.718474,407.3,44656.80000000,0.6
q100-m02-n0025,10,11955.333333,418.580140,267.6,9070.00000000,0.3
q100-m02-n0030,10,13545.666667,1027.214356,897.8,12823.00000000,0.0
q100-m02-n0035,10,17347.500000,1565.810706,897.1,9141.90000000,0.0
q100-m02-n0040,10,20625.000000,1345.525507,897.7,6786.40000000,0.0
q100-m02-n0045,10,22522.400000,1597.885074,898.8,5506.10000000,0.0
q100-m02-n0050,10,,,,,0.0
q100-m02-n0100,10,59861.000000,,1141.6,3.00000000,0.0
q100-m03-n0005,10,4635.500000,646.478194,0.0,2.20000000,1.0
q100-m03-n0010,10,7276.400000,937.771732,0.4,478.90000000,1.0
q100-m03-n0015,10,10120.100000,1822.973971,351.9,56248.20000000,0.6
q100-m03-n0020,10,13995.700000,1097.613173,896.5,24083.20000000,0.4
q100-m03-n0025,10,18631.666667,1747.181945,897.5,14605.11111111,0.0
q100-m03-n0030,10,24234.000000,2025.127015,898.2,9093.12500000,0.0
q100-m03-n0035,10,27664.125000,2335.727628,898.3,6303.12500000,0.0
